model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
granite3.2-vision:2b,1.0,0.5,6,864,161.16666666666666,116.0,129.22183908045977,151.37586206896552,153.6574712643678
granite3.2-vision:2b,1.0,0.6,3,867,90.66666666666667,108.0,128.867816091954,151.56666666666666,154.08965517241379
granite3.2-vision:2b,1.0,0.7,0,870,,,129.0,151.85402298850576,154.75632183908047
granite3.2-vision:2b,1.0,0.8,0,870,,,129.0,151.85402298850576,154.75632183908047
granite3.2-vision:2b,1.0,0.9,0,870,,,129.0,151.85402298850576,154.75632183908047
llama3.2-vision:11b,0.0,0.5,179,691,68.32960893854748,49.0,116.51724137931035,135.1103448275862,150.24885057471263
llama3.2-vision:11b,0.0,0.6,138,732,62.7463768115942,44.5,118.49080459770114,139.74942528735633,161.84425287356322
llama3.2-vision:11b,0.0,0.7,114,756,50.08771929824562,43.0,118.65977011494253,142.21954022988507,167.73620689655172
llama3.2-vision:11b,0.0,0.8,92,778,46.14673913043478,32.5,120.23850574712644,144.85114942528736,173.53275862068966
llama3.2-vision:11b,0.0,0.9,40,830,51.8,50.5,125.45057471264367,147.9609195402299,181.4132183908046
llama3.2-vision:11b,0.2,0.5,202,668,59.6525495049505,41.0,112.89863793103449,132.26530459770115,148.71207183908047
llama3.2-vision:11b,0.2,0.6,160,710,59.242593750000005,43.0,116.17105172413794,137.7273735632184,161.5902327586207
llama3.2-vision:11b,0.2,0.7,121,749,55.86623966942149,37.0,118.82852298850575,141.63656896551726,170.76264655172415
llama3.2-vision:11b,0.2,0.8,89,781,43.634494382022474,27.0,120.26720689655173,145.3200804597701,179.19863505747125
llama3.2-vision:11b,0.2,0.9,33,837,69.86363636363636,58.0,126.75689655172414,148.83620689655172,186.75502586206898
llama3.2-vision:11b,0.4,0.5,286,584,62.4469055944056,41.5,107.12162643678161,123.6296724137931,145.55389770114942
llama3.2-vision:11b,0.4,0.6,213,657,61.21978873239437,45.0,112.40553448275863,130.95036206896552,163.63550689655173
llama3.2-vision:11b,0.4,0.7,156,714,58.42846153846154,42.5,116.34579310344827,136.92855172413792,177.76889770114943
llama3.2-vision:11b,0.4,0.8,110,760,44.95,34.0,118.37298850574713,143.03275862068966,190.80719655172413
llama3.2-vision:11b,0.4,0.9,47,823,56.851063829787236,49.0,125.10229885057471,147.4390804597701,200.43363333333332
llama3.2-vision:11b,0.6,0.5,322,548,54.72670807453416,27.0,101.51034482758621,116.14827586206897,139.7712643678161
llama3.2-vision:11b,0.6,0.6,239,631,60.13179916317991,34.0,110.08103448275862,127.41666666666667,163.98505747126435
llama3.2-vision:11b,0.6,0.7,163,707,54.47239263803681,36.0,115.0367816091954,135.05862068965519,180.73908045977012
llama3.2-vision:11b,0.6,0.8,122,748,40.17213114754098,28.5,116.54367816091954,141.5287356321839,194.4655172413793
llama3.2-vision:11b,0.6,0.9,44,826,58.18181818181818,56.25,125.4183908045977,147.05632183908045,206.7919540229885
llama3.2-vision:11b,0.8,0.5,338,532,60.764792899408285,35.5,102.49022988505747,116.30747126436782,145.94540229885058
llama3.2-vision:11b,0.8,0.6,256,614,64.89453125,39.0,110.1367816091954,125.31379310344828,166.46724137931034
llama3.2-vision:11b,0.8,0.7,191,679,59.36649214659686,38.0,113.71264367816092,132.80459770114942,182.95459770114942
llama3.2-vision:11b,0.8,0.8,137,733,44.91240875912409,34.0,115.75862068965517,140.0471264367816,199.93620689655174
llama3.2-vision:11b,0.8,0.9,58,812,55.37931034482759,49.5,124.0919540229885,145.66781609195402,213.16264367816092
llama3.2-vision:11b,1.0,0.5,350,520,58.88428571428572,37.0,100.79252873563219,116.3683908045977,154.8867816091954
llama3.2-vision:11b,1.0,0.6,269,601,60.910780669144984,37.0,107.94712643678162,123.3896551724138,172.50057471264367
llama3.2-vision:11b,1.0,0.7,184,686,59.12228260869565,37.0,114.22126436781609,132.5155172413793,194.6419540229885
llama3.2-vision:11b,1.0,0.8,126,744,42.92857142857143,28.5,116.53448275862068,140.41264367816092,212.5948275862069
llama3.2-vision:11b,1.0,0.9,50,820,53.51,38.0,124.66149425287357,146.45689655172413,226.4925287356322
llava-llama3:8b,0.0,0.5,13,857,43.15384615384615,38.0,127.71724137931035,150.55402298850575,153.53333333333333
llava-llama3:8b,0.0,0.6,12,858,46.666666666666664,42.5,127.86436781609196,150.66666666666666,153.76091954022988
llava-llama3:8b,0.0,0.7,6,864,49.166666666666664,52.5,128.44942528735632,151.42988505747127,155.33563218390805
llava-llama3:8b,0.0,0.8,4,866,41.75,42.5,128.59885057471266,151.67011494252873,155.94942528735632
llava-llama3:8b,0.0,0.9,2,868,41.0,41.0,128.79770114942528,151.76206896551724,156.3287356321839
llava-llama3:8b,0.2,0.5,11,859,115.72727272727273,51.0,128.83218390804598,150.68275862068967,153.63563218390806
llava-llama3:8b,0.2,0.6,7,863,60.285714285714285,51.0,128.44712643678162,151.00574712643677,154.30459770114942
llava-llama3:8b,0.2,0.7,4,866,44.25,40.5,128.6103448275862,151.2816091954023,154.9367816091954
llava-llama3:8b,0.2,0.8,2,868,36.5,36.5,128.78735632183907,151.683908045977,155.74137931034483
llava-llama3:8b,0.2,0.9,0,870,,,129.0,151.85402298850576,156.19885057471265
llava-llama3:8b,0.4,0.5,3,867,57.666666666666664,77.0,128.75402298850574,151.5735632183908,153.2367816091954
