epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.9,gpt-4o,gemma3:4b,0.4,1.0,0.0617489056303983,0.03586068734030083,0.08761107055802364,1.0
0.9,gpt-4o,gpt-4.1,0.4,0.2,0.037692938414717346,0.01702797306787832,0.05833161681986225,0.9995
0.9,gpt-4o,gpt-5.2,0.4,0.0,0.1166925060057572,0.09637849719065712,0.1378319485138161,1.0
0.9,gpt-4o,granite3.2-vision:2b,0.4,0.6,0.1263451737223737,0.10227811498837373,0.15033595070934025,1.0
0.9,gpt-4o,llama3.2-vision:11b,0.4,0.4,0.06485942807837881,0.04249455720577381,0.08755945353524298,1.0
0.9,gpt-4o,llava-llama3:8b,0.4,0.0,0.12147930066193582,0.09880058740722589,0.14349603182549855,1.0
0.9,gpt-4o,llava-phi3:3.8b,0.4,0.0,0.12450167104411881,0.10257221845394618,0.14580466296793848,1.0
0.9,gpt-4o,llava:13b,0.4,0.0,0.10438346724119067,0.08198736992994375,0.1263477188251396,1.0
0.9,gpt-4o,llava:7b,0.4,0.4,0.12004660059570234,0.0977628436328709,0.1422006828011958,1.0
0.9,gpt-4o,minicpm-v:8b,0.4,0.0,0.06796335733282181,0.045719363930139714,0.09101404836112001,1.0
0.9,gpt-4o,ministral-3:14b,0.4,0.2,0.1480999205579902,0.12608844480756995,0.1699014624249046,1.0
0.9,gpt-4o,ministral-3:3b,0.4,0.2,0.13098884941455216,0.10933192773389533,0.15218996782098798,1.0
0.9,gpt-4o,ministral-3:8b,0.4,0.4,0.1342964023204995,0.11403623725992405,0.1554372991867819,1.0
0.9,gpt-4o,mistral-small3.1:24b,0.4,0.0,0.03992691995280353,0.01903865792761365,0.06036268121990202,1.0
0.9,gpt-4o,moondream:1.8b,0.4,0.8,0.11745402827388403,0.09246067677754442,0.14156770153211132,1.0
0.9,gpt-4o,qwen2.5vl:3b,0.4,0.2,0.05033875678961293,0.026499976721043334,0.07316478242508924,1.0
0.9,gpt-4o,qwen2.5vl:7b,0.4,0.0,0.004907621846768287,-0.017463794239978715,0.0268031652035955,0.6645
0.9,gpt-4o,qwen3-vl:2b,0.4,0.8,0.07693929963653887,0.055533863348749164,0.09832237737068682,1.0
0.9,gpt-4o,qwen3-vl:4b,0.4,0.8,0.06253174966581335,0.039620749908208894,0.0846241209499488,1.0
0.9,gpt-4o,qwen3-vl:8b,0.4,0.0,0.07035474652344004,0.048162873112213546,0.09212620884612789,1.0
