model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
gpt-5.5,1.0,r3,0.6,0.49404529256404955,0.4625618661257606,0.5254456564355326,37.84427619075583,34.069576362026375,41.880598004054264,92.14496000345578,86.45423065243797,97.9948634819357
gpt-5.5,1.0,r3,0.7,0.27735043610758797,0.24907490066432367,0.30535470082243993,42.923292056847636,37.444231939935065,48.42664757412399,112.77155305110102,107.2832557516085,118.56123126927307
gpt-5.5,1.0,r3,0.8,0.14735459859052194,0.12725115402996218,0.1681517157422202,30.685913342509483,25.941985723556133,35.519273536895675,133.15876558404807,127.84408508158508,138.9550707555627
gpt-5.5,1.0,r3,0.9,0.07515356498937857,0.059828178694158074,0.0900718809956945,30.834818991328078,23.753,38.90477799227799,142.0216172611891,137.005803146098,147.85270795192818
llama3.2-vision:11b,0.6,r1,0.5,0.5652942514460411,0.5330837654757922,0.5989073821368568,51.387625830628835,45.17508206433067,58.74629108117523,104.5494793729675,98.64473023132793,110.38841059333073
llama3.2-vision:11b,0.6,r1,0.6,0.4493110015402125,0.416272389021996,0.48426897793216883,49.18575177958775,42.37679216929334,57.30363565509006,115.77368278838844,110.15448095843652,121.58424651711924
llama3.2-vision:11b,0.6,r1,0.7,0.3364907816465374,0.30550278293135436,0.3681137104629257,40.644738105446244,34.71586612312419,48.140511333684756,126.76885491320863,121.19029677622358,132.84544598469492
llama3.2-vision:11b,0.6,r1,0.8,0.2753740983304499,0.24801087563763188,0.3042251310293452,33.682717300781924,30.213948651749856,37.393187772925764,133.65437284541957,128.2853367896232,139.5647030651341
llama3.2-vision:11b,0.6,r1,0.9,0.10083428771183027,0.08163265306122448,0.12092542454263241,48.445907049411645,41.03936919504644,56.35954704704704,143.53551568362283,138.3915775539867,149.1290698548763
llama3.2-vision:11b,0.6,r2,0.5,0.5722798376997361,0.5387430869321163,0.6062166040777582,57.485862673553704,50.44656345204328,65.68567768950511,105.31227546397291,99.75231467854049,111.18981653822861
llama3.2-vision:11b,0.6,r2,0.6,0.4593201434390674,0.4238682080591572,0.4944663036407006,59.829629221157674,51.47009154262926,69.15085791991797,114.70122277112928,109.24255701382634,120.73041788017474
llama3.2-vision:11b,0.6,r2,0.7,0.34671516540905234,0.31374679899341507,0.3791583170364647,52.13825958864261,42.986022784040316,62.43052566153705,124.293030049875,118.85809031622985,130.57154217869945
